genes	data
AKT1	0.6022
APC	-0.6999
ATM	-0.6988
ATR	-0.1952
CBX3	0.5418
CCNA2	-0.9489
CCNB1	-0.1856
CCNC	0.4681
CCND1	0.6313
CCNE1	-0.0273
CCNH	2.2914
CDC14A	-0.3016
CDC20	-1.6211
CDC25C	0.2109
CDC37	-0.7113
CDK2	-0.2581
CDK4	-0.2623
CDK6	-2.171
CDK7	0.0648
CDKN1A	0.98
CDKN1B	0.9489
CDKN1C	0.7092
CDKN2A	-0.7113
CDKN2A	-0.7113
CDKN2B	-0.879
CDKN2C	-0.2189
CDKN2D	0.2821
CDKN3	0.0109
CHEK1	-0.578
CREBBP	-0.9981
E2F1	-0.2005
E2F2	-0.8511
E2F3	-0.3594
E2F4	-1.0769
E2F5	0.2974
E2F7	-0.6422
E2F8	-0.2548
EED	-0.3371
EHMT1	1.1558
EHMT2	-0.518
EP300	-0.3555
EPC1	-0.8385
EZH2	-0.6009
FZR1	-1.4376
GSK3B	0.4077
HDAC1	0.7551
KAT2B	0.066
MAX	-0.4216
MDM2	0.6085
MGA	0.1806
MNAT1	-0.2663
NLRP2	1.3661
PCGF2	0.8472
PCNA	-0.3933
PKMYT1	-1.4649
PPA1	0.64
RB1	-0.1869
RBL1	-0.4874
RBL2	2.3766
RING1	-0.751
RYBP	0.4547
SERTAD1	-1.3019
SIN3B	0.8092
TFDP1	-0.979
TFDP2	0.1489
TOPBP1	-0.8552
TP53	0.3336
WEE1	-0.2134
